index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005cb0c,0x67dccb0c,0001000000000000,256,,,,alphabet=256 min=0x00000000
0,0x0005cb14,0x67dccb14,37000030,55,0x00,0x30,6,55
1,0x0005cb18,0x67dccb18,56000038,86,0x00,0x38,7,86
2,0x0005cb1c,0x67dccb1c,01000088,1,0x00,0x88,17,1
3,0x0005cb20,0x67dccb20,010000a0,1,0x00,0xa0,20,1
4,0x0005cb24,0x67dccb24,020000a0,2,0x00,0xa0,20,2
5,0x0005cb28,0x67dccb28,030000a0,3,0x00,0xa0,20,3
6,0x0005cb2c,0x67dccb2c,000000a0,0,0x00,0xa0,20,0
7,0x0005cb30,0x67dccb30,040000a0,4,0x00,0xa0,20,4
8,0x0005cb34,0x67dccb34,050000a0,5,0x00,0xa0,20,5
9,0x0005cb38,0x67dccb38,03000098,3,0x00,0x98,19,3
10,0x0005cb3c,0x67dccb3c,15000058,21,0x00,0x58,11,21
11,0x0005cb40,0x67dccb40,42000048,66,0x00,0x48,9,66
12,0x0005cb44,0x67dccb44,14000058,20,0x00,0x58,11,20
13,0x0005cb48,0x67dccb48,03000070,3,0x00,0x70,14,3
14,0x0005cb4c,0x67dccb4c,02000070,2,0x00,0x70,14,2
15,0x0005cb50,0x67dccb50,01000078,1,0x00,0x78,15,1
16,0x0005cb54,0x67dccb54,01000080,1,0x00,0x80,16,1
17,0x0005cb58,0x67dccb58,01000060,1,0x00,0x60,12,1
18,0x0005cb5c,0x67dccb5c,2b000050,43,0x00,0x50,10,43
19,0x0005cb60,0x67dccb60,18000058,24,0x00,0x58,11,24
20,0x0005cb64,0x67dccb64,0c000058,12,0x00,0x58,11,12
21,0x0005cb68,0x67dccb68,41000048,65,0x00,0x48,9,65
22,0x0005cb6c,0x67dccb6c,78000040,120,0x00,0x40,8,120
23,0x0005cb70,0x67dccb70,6c000040,108,0x00,0x40,8,108
24,0x0005cb74,0x67dccb74,55000038,85,0x00,0x38,7,85
25,0x0005cb78,0x67dccb78,0f000020,15,0x00,0x20,4,15
26,0x0005cb7c,0x67dccb7c,0e000020,14,0x00,0x20,4,14
27,0x0005cb80,0x67dccb80,34000030,52,0x00,0x30,6,52
28,0x0005cb84,0x67dccb84,51000038,81,0x00,0x38,7,81
29,0x0005cb88,0x67dccb88,72000040,114,0x00,0x40,8,114
30,0x0005cb8c,0x67dccb8c,6e000040,110,0x00,0x40,8,110
31,0x0005cb90,0x67dccb90,40000048,64,0x00,0x48,9,64
32,0x0005cb94,0x67dccb94,3f000048,63,0x00,0x48,9,63
33,0x0005cb98,0x67dccb98,3e000048,62,0x00,0x48,9,62
34,0x0005cb9c,0x67dccb9c,3d000048,61,0x00,0x48,9,61
35,0x0005cba0,0x67dccba0,3c000048,60,0x00,0x48,9,60
36,0x0005cba4,0x67dccba4,3b000048,59,0x00,0x48,9,59
37,0x0005cba8,0x67dccba8,3a000048,58,0x00,0x48,9,58
38,0x0005cbac,0x67dccbac,39000048,57,0x00,0x48,9,57
