index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d19c,0x67dcd19c,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d1a4,0x67dcd1a4,01000008,1,0x00,0x08,1,1
1,0x0005d1a8,0x67dcd1a8,03000018,3,0x00,0x18,3,3
2,0x0005d1ac,0x67dcd1ac,02000018,2,0x00,0x18,3,2
3,0x0005d1b0,0x67dcd1b0,03000020,3,0x00,0x20,4,3
4,0x0005d1b4,0x67dcd1b4,02000020,2,0x00,0x20,4,2
5,0x0005d1b8,0x67dcd1b8,01000020,1,0x00,0x20,4,1
6,0x0005d1bc,0x67dcd1bc,01000028,1,0x00,0x28,5,1
7,0x0005d1c0,0x67dcd1c0,00000028,0,0x00,0x28,5,0
