index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d1ec,0x67dcd1ec,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d1f4,0x67dcd1f4,03000010,3,0x00,0x10,2,3
1,0x0005d1f8,0x67dcd1f8,05000018,5,0x00,0x18,3,5
2,0x0005d1fc,0x67dcd1fc,04000018,4,0x00,0x18,3,4
3,0x0005d200,0x67dcd200,03000018,3,0x00,0x18,3,3
4,0x0005d204,0x67dcd204,02000018,2,0x00,0x18,3,2
5,0x0005d208,0x67dcd208,01000018,1,0x00,0x18,3,1
6,0x0005d20c,0x67dcd20c,01000020,1,0x00,0x20,4,1
7,0x0005d210,0x67dcd210,00000020,0,0x00,0x20,4,0
