index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d124,0x67dcd124,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d12c,0x67dcd12c,01000008,1,0x00,0x08,1,1
1,0x0005d130,0x67dcd130,01000010,1,0x00,0x10,2,1
2,0x0005d134,0x67dcd134,01000018,1,0x00,0x18,3,1
3,0x0005d138,0x67dcd138,03000028,3,0x00,0x28,5,3
4,0x0005d13c,0x67dcd13c,02000028,2,0x00,0x28,5,2
5,0x0005d140,0x67dcd140,01000028,1,0x00,0x28,5,1
6,0x0005d144,0x67dcd144,01000030,1,0x00,0x30,6,1
7,0x0005d148,0x67dcd148,00000030,0,0x00,0x30,6,0
