word_index,file_offset_hex,vma_hex,value_u16,value_hex
126,0x00059dfc,0x67dc9dfc,2,0x0002
127,0x00059dfe,0x67dc9dfe,16,0x0010
128,0x00059e00,0x67dc9e00,16,0x0010
129,0x00059e02,0x67dc9e02,16,0x0010
130,0x00059e04,0x67dc9e04,16,0x0010
131,0x00059e06,0x67dc9e06,32,0x0020
132,0x00059e08,0x67dc9e08,0,0x0000
133,0x00059e0a,0x67dc9e0a,0,0x0000
134,0x00059e0c,0x67dc9e0c,0,0x0000
135,0x00059e0e,0x67dc9e0e,0,0x0000
136,0x00059e10,0x67dc9e10,0,0x0000
137,0x00059e12,0x67dc9e12,0,0x0000
138,0x00059e14,0x67dc9e14,0,0x0000
139,0x00059e16,0x67dc9e16,0,0x0000
140,0x00059e18,0x67dc9e18,0,0x0000
141,0x00059e1a,0x67dc9e1a,0,0x0000
142,0x00059e1c,0x67dc9e1c,0,0x0000
143,0x00059e1e,0x67dc9e1e,0,0x0000
144,0x00059e20,0x67dc9e20,0,0x0000
145,0x00059e22,0x67dc9e22,0,0x0000
146,0x00059e24,0x67dc9e24,0,0x0000
147,0x00059e26,0x67dc9e26,0,0x0000
148,0x00059e28,0x67dc9e28,0,0x0000
149,0x00059e2a,0x67dc9e2a,0,0x0000
150,0x00059e2c,0x67dc9e2c,0,0x0000
151,0x00059e2e,0x67dc9e2e,0,0x0000
152,0x00059e30,0x67dc9e30,0,0x0000
153,0x00059e32,0x67dc9e32,0,0x0000
154,0x00059e34,0x67dc9e34,0,0x0000
155,0x00059e36,0x67dc9e36,0,0x0000
156,0x00059e38,0x67dc9e38,0,0x0000
157,0x00059e3a,0x67dc9e3a,0,0x0000
158,0x00059e3c,0x67dc9e3c,0,0x0000
159,0x00059e3e,0x67dc9e3e,0,0x0000
160,0x00059e40,0x67dc9e40,0,0x0000
161,0x00059e42,0x67dc9e42,0,0x0000
162,0x00059e44,0x67dc9e44,0,0x0000
163,0x00059e46,0x67dc9e46,0,0x0000
164,0x00059e48,0x67dc9e48,0,0x0000
165,0x00059e4a,0x67dc9e4a,0,0x0000
166,0x00059e4c,0x67dc9e4c,0,0x0000
167,0x00059e4e,0x67dc9e4e,0,0x0000
168,0x00059e50,0x67dc9e50,0,0x0000
169,0x00059e52,0x67dc9e52,0,0x0000
170,0x00059e54,0x67dc9e54,0,0x0000
171,0x00059e56,0x67dc9e56,0,0x0000
172,0x00059e58,0x67dc9e58,0,0x0000
173,0x00059e5a,0x67dc9e5a,0,0x0000
174,0x00059e5c,0x67dc9e5c,0,0x0000
175,0x00059e5e,0x67dc9e5e,0,0x0000
176,0x00059e60,0x67dc9e60,0,0x0000
177,0x00059e62,0x67dc9e62,0,0x0000
178,0x00059e64,0x67dc9e64,0,0x0000
179,0x00059e66,0x67dc9e66,0,0x0000
180,0x00059e68,0x67dc9e68,0,0x0000
181,0x00059e6a,0x67dc9e6a,0,0x0000
182,0x00059e6c,0x67dc9e6c,0,0x0000
183,0x00059e6e,0x67dc9e6e,0,0x0000
184,0x00059e70,0x67dc9e70,0,0x0000
185,0x00059e72,0x67dc9e72,0,0x0000
186,0x00059e74,0x67dc9e74,0,0x0000
187,0x00059e76,0x67dc9e76,0,0x0000
188,0x00059e78,0x67dc9e78,0,0x0000
189,0x00059e7a,0x67dc9e7a,0,0x0000
190,0x00059e7c,0x67dc9e7c,0,0x0000
191,0x00059e7e,0x67dc9e7e,0,0x0000
192,0x00059e80,0x67dc9e80,0,0x0000
193,0x00059e82,0x67dc9e82,0,0x0000
194,0x00059e84,0x67dc9e84,0,0x0000
195,0x00059e86,0x67dc9e86,0,0x0000
196,0x00059e88,0x67dc9e88,0,0x0000
197,0x00059e8a,0x67dc9e8a,0,0x0000
198,0x00059e8c,0x67dc9e8c,0,0x0000
199,0x00059e8e,0x67dc9e8e,0,0x0000
200,0x00059e90,0x67dc9e90,0,0x0000
201,0x00059e92,0x67dc9e92,0,0x0000
202,0x00059e94,0x67dc9e94,0,0x0000
203,0x00059e96,0x67dc9e96,0,0x0000
204,0x00059e98,0x67dc9e98,0,0x0000
205,0x00059e9a,0x67dc9e9a,0,0x0000
206,0x00059e9c,0x67dc9e9c,0,0x0000
207,0x00059e9e,0x67dc9e9e,0,0x0000
208,0x00059ea0,0x67dc9ea0,0,0x0000
209,0x00059ea2,0x67dc9ea2,0,0x0000
