index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d0fc,0x67dcd0fc,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d104,0x67dcd104,01000028,1,0x00,0x28,5,1
1,0x0005d108,0x67dcd108,01000008,1,0x00,0x08,1,1
2,0x0005d10c,0x67dcd10c,03000018,3,0x00,0x18,3,3
3,0x0005d110,0x67dcd110,02000018,2,0x00,0x18,3,2
4,0x0005d114,0x67dcd114,03000020,3,0x00,0x20,4,3
5,0x0005d118,0x67dcd118,02000020,2,0x00,0x20,4,2
6,0x0005d11c,0x67dcd11c,00000028,0,0x00,0x28,5,0
7,0x0005d120,0x67dcd120,01000020,1,0x00,0x20,4,1
