index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d174,0x67dcd174,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d17c,0x67dcd17c,01000008,1,0x00,0x08,1,1
1,0x0005d180,0x67dcd180,03000018,3,0x00,0x18,3,3
2,0x0005d184,0x67dcd184,02000018,2,0x00,0x18,3,2
3,0x0005d188,0x67dcd188,03000020,3,0x00,0x20,4,3
4,0x0005d18c,0x67dcd18c,02000020,2,0x00,0x20,4,2
5,0x0005d190,0x67dcd190,01000020,1,0x00,0x20,4,1
6,0x0005d194,0x67dcd194,01000028,1,0x00,0x28,5,1
7,0x0005d198,0x67dcd198,00000028,0,0x00,0x28,5,0
