index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d1c4,0x67dcd1c4,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d1cc,0x67dcd1cc,03000010,3,0x00,0x10,2,3
1,0x0005d1d0,0x67dcd1d0,05000018,5,0x00,0x18,3,5
2,0x0005d1d4,0x67dcd1d4,04000018,4,0x00,0x18,3,4
3,0x0005d1d8,0x67dcd1d8,03000018,3,0x00,0x18,3,3
4,0x0005d1dc,0x67dcd1dc,02000018,2,0x00,0x18,3,2
5,0x0005d1e0,0x67dcd1e0,01000018,1,0x00,0x18,3,1
6,0x0005d1e4,0x67dcd1e4,01000020,1,0x00,0x20,4,1
7,0x0005d1e8,0x67dcd1e8,00000020,0,0x00,0x20,4,0
