index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d14c,0x67dcd14c,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d154,0x67dcd154,01000008,1,0x00,0x08,1,1
1,0x0005d158,0x67dcd158,03000018,3,0x00,0x18,3,3
2,0x0005d15c,0x67dcd15c,02000018,2,0x00,0x18,3,2
3,0x0005d160,0x67dcd160,03000020,3,0x00,0x20,4,3
4,0x0005d164,0x67dcd164,02000020,2,0x00,0x20,4,2
5,0x0005d168,0x67dcd168,01000020,1,0x00,0x20,4,1
6,0x0005d16c,0x67dcd16c,01000028,1,0x00,0x28,5,1
7,0x0005d170,0x67dcd170,00000028,0,0x00,0x28,5,0
