index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d084,0x67dcd084,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d08c,0x67dcd08c,01000030,1,0x00,0x30,6,1
1,0x0005d090,0x67dcd090,01000008,1,0x00,0x08,1,1
2,0x0005d094,0x67dcd094,01000010,1,0x00,0x10,2,1
3,0x0005d098,0x67dcd098,00000030,0,0x00,0x30,6,0
4,0x0005d09c,0x67dcd09c,03000020,3,0x00,0x20,4,3
5,0x0005d0a0,0x67dcd0a0,02000020,2,0x00,0x20,4,2
6,0x0005d0a4,0x67dcd0a4,01000028,1,0x00,0x28,5,1
7,0x0005d0a8,0x67dcd0a8,01000020,1,0x00,0x20,4,1
