index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d05c,0x67dcd05c,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d064,0x67dcd064,01000030,1,0x00,0x30,6,1
1,0x0005d068,0x67dcd068,01000008,1,0x00,0x08,1,1
2,0x0005d06c,0x67dcd06c,01000010,1,0x00,0x10,2,1
3,0x0005d070,0x67dcd070,03000028,3,0x00,0x28,5,3
4,0x0005d074,0x67dcd074,02000028,2,0x00,0x28,5,2
5,0x0005d078,0x67dcd078,00000030,0,0x00,0x30,6,0
6,0x0005d07c,0x67dcd07c,01000028,1,0x00,0x28,5,1
7,0x0005d080,0x67dcd080,01000018,1,0x00,0x18,3,1
