byte_index,file_offset_hex,vma_hex,value_signed,value_hex
1970,0x0005d9d6,0x67dcd9d6,-4,0xfc
1971,0x0005d9d7,0x67dcd9d7,-4,0xfc
1972,0x0005d9d8,0x67dcd9d8,-1,0xff
1973,0x0005d9d9,0x67dcd9d9,-1,0xff
1974,0x0005d9da,0x67dcd9da,-1,0xff
1975,0x0005d9db,0x67dcd9db,-1,0xff
1976,0x0005d9dc,0x67dcd9dc,2,0x02
1977,0x0005d9dd,0x67dcd9dd,1,0x01
1978,0x0005d9de,0x67dcd9de,1,0x01
1979,0x0005d9df,0x67dcd9df,2,0x02
1980,0x0005d9e0,0x67dcd9e0,3,0x03
1981,0x0005d9e1,0x67dcd9e1,3,0x03
1982,0x0005d9e2,0x67dcd9e2,3,0x03
1983,0x0005d9e3,0x67dcd9e3,4,0x04
1984,0x0005d9e4,0x67dcd9e4,-4,0xfc
1985,0x0005d9e5,0x67dcd9e5,-4,0xfc
1986,0x0005d9e6,0x67dcd9e6,-4,0xfc
1987,0x0005d9e7,0x67dcd9e7,-4,0xfc
1988,0x0005d9e8,0x67dcd9e8,-1,0xff
1989,0x0005d9e9,0x67dcd9e9,-1,0xff
1990,0x0005d9ea,0x67dcd9ea,-2,0xfe
1991,0x0005d9eb,0x67dcd9eb,-2,0xfe
1992,0x0005d9ec,0x67dcd9ec,2,0x02
1993,0x0005d9ed,0x67dcd9ed,1,0x01
1994,0x0005d9ee,0x67dcd9ee,1,0x01
1995,0x0005d9ef,0x67dcd9ef,1,0x01
1996,0x0005d9f0,0x67dcd9f0,4,0x04
1997,0x0005d9f1,0x67dcd9f1,3,0x03
1998,0x0005d9f2,0x67dcd9f2,3,0x03
1999,0x0005d9f3,0x67dcd9f3,3,0x03
2000,0x0005d9f4,0x67dcd9f4,3,0x03
2001,0x0005d9f5,0x67dcd9f5,3,0x03
2002,0x0005d9f6,0x67dcd9f6,3,0x03
2003,0x0005d9f7,0x67dcd9f7,4,0x04
2004,0x0005d9f8,0x67dcd9f8,1,0x01
2005,0x0005d9f9,0x67dcd9f9,2,0x02
2006,0x0005d9fa,0x67dcd9fa,1,0x01
2007,0x0005d9fb,0x67dcd9fb,2,0x02
2008,0x0005d9fc,0x67dcd9fc,-2,0xfe
