index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d034,0x67dcd034,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d03c,0x67dcd03c,01000038,1,0x00,0x38,7,1
1,0x0005d040,0x67dcd040,01000008,1,0x00,0x08,1,1
2,0x0005d044,0x67dcd044,01000010,1,0x00,0x10,2,1
3,0x0005d048,0x67dcd048,01000018,1,0x00,0x18,3,1
4,0x0005d04c,0x67dcd04c,01000020,1,0x00,0x20,4,1
5,0x0005d050,0x67dcd050,01000030,1,0x00,0x30,6,1
6,0x0005d054,0x67dcd054,00000038,0,0x00,0x38,7,0
7,0x0005d058,0x67dcd058,01000028,1,0x00,0x28,5,1
