index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005cf14,0x67dccf14,4000000000000000,64,,,,alphabet=64 min=0x00000000
0,0x0005cf1c,0x67dccf1c,05000068,5,0x00,0x68,13,5
1,0x0005cf20,0x67dccf20,07000068,7,0x00,0x68,13,7
2,0x0005cf24,0x67dccf24,05000060,5,0x00,0x60,12,5
3,0x0005cf28,0x67dccf28,07000060,7,0x00,0x60,12,7
4,0x0005cf2c,0x67dccf2c,09000060,9,0x00,0x60,12,9
5,0x0005cf30,0x67dccf30,0b000060,11,0x00,0x60,12,11
6,0x0005cf34,0x67dccf34,0d000060,13,0x00,0x60,12,13
7,0x0005cf38,0x67dccf38,0f000060,15,0x00,0x60,12,15
8,0x0005cf3c,0x67dccf3c,09000058,9,0x00,0x58,11,9
9,0x0005cf40,0x67dccf40,0b000058,11,0x00,0x58,11,11
10,0x0005cf44,0x67dccf44,0d000058,13,0x00,0x58,11,13
11,0x0005cf48,0x67dccf48,0f000058,15,0x00,0x58,11,15
12,0x0005cf4c,0x67dccf4c,11000058,17,0x00,0x58,11,17
13,0x0005cf50,0x67dccf50,13000058,19,0x00,0x58,11,19
14,0x0005cf54,0x67dccf54,15000058,21,0x00,0x58,11,21
15,0x0005cf58,0x67dccf58,17000058,23,0x00,0x58,11,23
16,0x0005cf5c,0x67dccf5c,19000058,25,0x00,0x58,11,25
17,0x0005cf60,0x67dccf60,1b000058,27,0x00,0x58,11,27
18,0x0005cf64,0x67dccf64,1d000058,29,0x00,0x58,11,29
19,0x0005cf68,0x67dccf68,1f000058,31,0x00,0x58,11,31
20,0x0005cf6c,0x67dccf6c,21000058,33,0x00,0x58,11,33
21,0x0005cf70,0x67dccf70,23000058,35,0x00,0x58,11,35
22,0x0005cf74,0x67dccf74,13000050,19,0x00,0x50,10,19
23,0x0005cf78,0x67dccf78,15000050,21,0x00,0x50,10,21
24,0x0005cf7c,0x67dccf7c,17000050,23,0x00,0x50,10,23
25,0x0005cf80,0x67dccf80,07000040,7,0x00,0x40,8,7
26,0x0005cf84,0x67dccf84,09000040,9,0x00,0x40,8,9
27,0x0005cf88,0x67dccf88,0b000040,11,0x00,0x40,8,11
28,0x0005cf8c,0x67dccf8c,07000038,7,0x00,0x38,7,7
29,0x0005cf90,0x67dccf90,03000028,3,0x00,0x28,5,3
30,0x0005cf94,0x67dccf94,03000020,3,0x00,0x20,4,3
31,0x0005cf98,0x67dccf98,03000018,3,0x00,0x18,3,3
32,0x0005cf9c,0x67dccf9c,01000008,1,0x00,0x08,1,1
33,0x0005cfa0,0x67dccfa0,02000018,2,0x00,0x18,3,2
34,0x0005cfa4,0x67dccfa4,02000020,2,0x00,0x20,4,2
35,0x0005cfa8,0x67dccfa8,02000028,2,0x00,0x28,5,2
36,0x0005cfac,0x67dccfac,06000038,6,0x00,0x38,7,6
37,0x0005cfb0,0x67dccfb0,0a000040,10,0x00,0x40,8,10
38,0x0005cfb4,0x67dccfb4,08000040,8,0x00,0x40,8,8
39,0x0005cfb8,0x67dccfb8,06000040,6,0x00,0x40,8,6
40,0x0005cfbc,0x67dccfbc,16000050,22,0x00,0x50,10,22
41,0x0005cfc0,0x67dccfc0,14000050,20,0x00,0x50,10,20
42,0x0005cfc4,0x67dccfc4,12000050,18,0x00,0x50,10,18
43,0x0005cfc8,0x67dccfc8,22000058,34,0x00,0x58,11,34
44,0x0005cfcc,0x67dccfcc,20000058,32,0x00,0x58,11,32
45,0x0005cfd0,0x67dccfd0,1e000058,30,0x00,0x58,11,30
46,0x0005cfd4,0x67dccfd4,1c000058,28,0x00,0x58,11,28
47,0x0005cfd8,0x67dccfd8,1a000058,26,0x00,0x58,11,26
48,0x0005cfdc,0x67dccfdc,18000058,24,0x00,0x58,11,24
49,0x0005cfe0,0x67dccfe0,16000058,22,0x00,0x58,11,22
50,0x0005cfe4,0x67dccfe4,14000058,20,0x00,0x58,11,20
51,0x0005cfe8,0x67dccfe8,12000058,18,0x00,0x58,11,18
52,0x0005cfec,0x67dccfec,10000058,16,0x00,0x58,11,16
53,0x0005cff0,0x67dccff0,0e000058,14,0x00,0x58,11,14
54,0x0005cff4,0x67dccff4,0c000058,12,0x00,0x58,11,12
55,0x0005cff8,0x67dccff8,0a000058,10,0x00,0x58,11,10
56,0x0005cffc,0x67dccffc,08000058,8,0x00,0x58,11,8
57,0x0005d000,0x67dcd000,0e000060,14,0x00,0x60,12,14
58,0x0005d004,0x67dcd004,0c000060,12,0x00,0x60,12,12
59,0x0005d008,0x67dcd008,0a000060,10,0x00,0x60,12,10
60,0x0005d00c,0x67dcd00c,08000060,8,0x00,0x60,12,8
61,0x0005d010,0x67dcd010,06000060,6,0x00,0x60,12,6
62,0x0005d014,0x67dcd014,04000060,4,0x00,0x60,12,4
63,0x0005d018,0x67dcd018,06000068,6,0x00,0x68,13,6
