index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d0ac,0x67dcd0ac,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d0b4,0x67dcd0b4,01000028,1,0x00,0x28,5,1
1,0x0005d0b8,0x67dcd0b8,01000008,1,0x00,0x08,1,1
2,0x0005d0bc,0x67dcd0bc,03000018,3,0x00,0x18,3,3
3,0x0005d0c0,0x67dcd0c0,00000028,0,0x00,0x28,5,0
4,0x0005d0c4,0x67dcd0c4,03000020,3,0x00,0x20,4,3
5,0x0005d0c8,0x67dcd0c8,02000018,2,0x00,0x18,3,2
6,0x0005d0cc,0x67dcd0cc,02000020,2,0x00,0x20,4,2
7,0x0005d0d0,0x67dcd0d0,01000020,1,0x00,0x20,4,1
