index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005d0d4,0x67dcd0d4,0800000000000000,8,,,,alphabet=8 min=0x00000000
0,0x0005d0dc,0x67dcd0dc,01000020,1,0x00,0x20,4,1
1,0x0005d0e0,0x67dcd0e0,03000010,3,0x00,0x10,2,3
2,0x0005d0e4,0x67dcd0e4,05000018,5,0x00,0x18,3,5
3,0x0005d0e8,0x67dcd0e8,04000018,4,0x00,0x18,3,4
4,0x0005d0ec,0x67dcd0ec,03000018,3,0x00,0x18,3,3
5,0x0005d0f0,0x67dcd0f0,02000018,2,0x00,0x18,3,2
6,0x0005d0f4,0x67dcd0f4,00000020,0,0x00,0x20,4,0
7,0x0005d0f8,0x67dcd0f8,01000018,1,0x00,0x18,3,1
